NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
ABCA8	1	1	1	1	1	1	1	1	1	217.585542905923	1	1	1	1	1	1	1	1	1	1	1	1	1	1	74.827468778801	1	1	1
ABCA9	1	1	1	1	1	1	1	1	1	84.1419204813498	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.6624102705005	1	1	1	1	1
ABCB7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.2314768328636	31.3434022557558	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.254243771482	1	1	1	1	1	1
ABCC3	1	44.05290497048	1	1	1	1	1	1	63.1669730046203	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC5	1	43.4201828400839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.7697423047727	1	1	1	1	1	1
ABCC9	70.246962779778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	274.530710213432	1	1	1
ABCD3	1	1	1	1	1	1	1	37.3412335234707	1	1	1	1	1	1	35.8453287886805	1	1	84.0827721404024	1	1	54.724055368301	32.4649771268064	1	1	1	1	1	1
ABCD4	1	1	1	1	1	84.0061909314457	1	1	1	1	1	1	1	1	1	1	1	1	147.695417825927	1	1	1	70.4968057210776	1	1	1	1	28.3712523729731
ABCF1	1	35.5719497381238	66.5532012310165	1	1	47.1055256804757	1	34.8312544003152	1	1	47.2240104753336	1	83.5791220025566	56.6290111036978	50.0379934847819	52.8580144996311	34.8196347567131	42.3377850942889	62.0867130424804	1	54.1505696736786	32.8469093963471	76.7753743299654	1	50.1618040252392	34.1827755323092	1	1
ABCF2	1	1	43.6064078042401	1	1	1	1	1	1	1	1	1	1	33.1505653408749	29.1568172724659	1	1	1	1	1	1	31.853317386389	1	1	1	1	1	1
ABCG1	1	73.8699614750541	1	1	1	110.464615167464	1	1	1	1	1	1	1	1	1	1	1	1	67.3801682548904	1	1	1	72.0957184181075	1	1	1	1	87.9697511806361
ABHD11	1	1	69.3870380419724	1	1	1	1	129.735924305645	1	1	1	1	1	56.1914452502027	83.835110365353	99.8227117710444	1	85.5606818751207	1	1	95.6797915405599	96.0193200278171	1	1	1	53.7593112103543	1	1
ABHD13	1	1	1	1	1	1	1	1	1	1	1	1	1	35.8997820409743	1	1	1	1	1	1	1	35.7494263212559	1	1	1	1	1	87.9986472939717
ABHD15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.8443391794937	1	1	1	1	1	1	1	1	1	1	1
ABHD17A	1	1	30.5451732061087	1	1	98.2411256482685	1	1	1	1	1	1	1	31.3856819081681	24.7870838589935	1	1	1	38.45505916706	1	1	1	94.3171476258874	1	1	1	133.919966329831	1
