NAME	T cells CD8+	T cells CD4+	Endothelial ACKR1	B cells Memory	CAFs MSC iCAF-like	B cells Naive	NKT cells	GenMod1	GenMod3	GenMod6	Monocyte	CAFs myCAF-like	PVL Immature	GenMod7	Endothelial RGS5	GenMod2	Plasmablasts	GenMod5	Macrophage	GenMod4	Luminal Progenitors	Mature Luminal	Myoepithelial	PVL Differentiated	NK cells	DCs	Endothelial CXCL12	Endothelial Lymphatic LYVE1
SNX24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.4856035177719	1	1	1	1	1	1	1	1	1	1
SNX29	1	1	1	1	1	174.875489714207	1	1	1	1	1	1	1	1	1	1	1	1	51.4661012278151	1	1	1	1	1	1	1	1	1
SNX7	1	1	1	1	1	1	1	1	32.7408785621436	1	1	36.3213290543537	1	1	1	1	1	1	1	1	1	1	61.0605254935153	67.1369728228694	1	1	1	1
SNX8	1	1	1	1	1	1	1	1	57.2902436229316	1	37.3740644769406	1	1	1	1	1	1	1	60.0095344358655	42.1123209688718	1	1	1	1	1	1	1	1
SNX9	1	122.630235506358	72.4397564854739	115.217045435287	147.184158942114	160.932352690901	1	32.523349152971	53.1290203828878	27.8694836542646	75.5586996719335	129.141481578726	46.991102035005	1	90.7745811862253	25.4905233995042	1	41.7883848803716	104.022234148087	35.624888618476	70.3324238519681	93.1071726565822	58.5824650272659	1	1	148.497459077079	114.062117790657	145.761748287185
SOAT1	1	1	1	1	1	1	1	1	1	1	50.563732417298	1	1	1	1	1	1	1	76.3281992054582	1	1	1	1	1	1	1	1	27.2648118672682
SOCS1	376.786302971253	342.834451122891	1	131.775021473555	51.7427636203973	214.404216368007	329.221489324768	44.5077322320374	71.8245893157878	1	59.6074364460138	1	64.6373291807591	1	57.7847044049391	1	1	1	75.0827074229899	1	1	1	1	1	350.04777398326	157.977845548838	82.2925681818271	1
SOCS2	1	1	208.661151275746	1	1	1	1	1	1	1	1	1	1	1	144.710994706553	1	1	1	1	1	1	277.164962113611	1	1	1	1	153.678166854644	545.442570349967
SOD3	1	1	1	1	649.617634461544	1	1	1	93.4463657938501	1	1	184.715174858358	730.400698554052	1	82.9300327465753	1	1	1	1	1	1	48.3611240930015	1	1555.6452557764	1	1	1	1
SORBS2	1	1	70.9841405449274	1	1	1	1	42.9971431673934	1	51.4206652270437	1	1	1	35.1793351280861	56.6778467092606	1	1	49.2221016393533	1	1	127.328280999139	79.8159458766025	1	637.025944898731	1	1	104.492281486686	1
