NAME	Endothelial ACKR1	Endothelial RGS5	GenMod5	Endothelial CXCL12	NK cells	T cells CD4+	GenMod1	GenMod3	T cells CD8+	Macrophage	NKT cells	Plasmablasts	PVL Differentiated	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Monocyte	GenMod2	GenMod7	Myoepithelial	GenMod6	PVL Immature	Luminal Progenitors	B cells Memory	GenMod4	Mature Luminal	B cells Naive	Endothelial Lymphatic LYVE1
CHN1	39.8699573488976	47.0482310809961	1	1	1	1	1	1	1	1	1	1	123.96678591663	1	1	65.6810822322087	1	1	1	1	1	255.849231599197	1	1	1	1	1	1
CHORDC1	43.0994517891505	113.941086223913	61.2308539074315	90.7050800612591	223.743125104573	175.247492575077	82.3024884834698	127.485752201437	216.529771175264	57.6881374086076	136.520967083429	1	87.639087318198	51.6736985483449	84.9325158795786	1	54.3271889688525	38.7121895528386	69.2715366633784	50.3998327728378	45.9364150292694	61.8185303721	44.516224311256	156.056486062648	74.7182536039914	52.317618375473	1	1
CHPF	1	1	52.9053015973687	1	1	1	44.0168009090767	89.6314957134325	1	1	1	128.531399000289	1	90.928761573499	1	268.946279546611	1	45.3416899230404	63.0563142094703	71.3597574583976	64.3419519028582	56.3666845977747	42.306055347592	1	47.3118546879503	89.3333620188973	1	1
CHPT1	1	1	206.630969640294	1	1	1	92.2659691458751	50.3135939760383	1	1	1	1	1	1	1	1	1	105.318144492405	62.0491303144565	1	81.1983810027447	1	85.3132110196116	90.0995175790007	63.7330909220024	187.902372342351	133.156563278399	1
CHRDL1	1	1	1	1	1	1	1	1	1	1	1	1	1	111.992502679575	1	1	1	1	1	1	1	1	1	1	1	1	1	57.2191947200881
CHST11	1	1	1	1	83.0610621049831	1	1	1	1	61.5427720829637	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHST12	77.5939052495269	98.1240155694332	1	73.0393047195042	157.927152903808	1	1	33.7965082166613	191.552039227989	1	259.082086857193	60.9186681571143	1	84.1233513891213	41.8073331055093	88.9057484351198	1	1	1	1	1	61.8738005953581	1	1	1	32.9114348374483	148.879202341298	179.079701927335
CHST7	54.897404154078	46.556847073664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CHST9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.5873516103856	1	1	1	1	1
CHSY1	64.8804742951916	69.9991971435205	1	83.9313699756239	1	1	1	1	1	1	1	1	47.5255287684399	1	1	1	1	1	1	1	1	67.1193503546188	1	1	1	41.1416638384535	1	1
CHTOP	46.276871982223	46.9906446479451	72.6903484172009	73.7441122908447	1	1	60.1989761091867	58.9742188215037	1	42.5789148012774	143.639917730003	1	51.8340610360154	1	1	50.2211501415371	1	60.8519203331953	74.6634208752589	1	63.9093796717889	72.2124245612134	41.5276524196945	1	69.4390342428224	45.2347959662748	1	1
