NAME	T cells CD4+	Endothelial ACKR1	GenMod2	GenMod4	PVL Immature	GenMod3	T cells CD8+	PVL Differentiated	GenMod7	Monocyte	Macrophage	NKT cells	Plasmablasts	Myoepithelial	GenMod5	CAFs myCAF-like	B cells Memory	Endothelial CXCL12	DCs	GenMod6	B cells Naive	Mature Luminal	GenMod1	Endothelial RGS5	CAFs MSC iCAF-like	Luminal Progenitors	NK cells	Endothelial Lymphatic LYVE1
AGK	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76.5084911797469
AGL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.7774054966031	1	1	1	1	1	1
AGO2	1	1	1	1	1	1	1	1	44.8791137124809	1	1	1	1	1	1	1	1	1	43.8189236955499	28.9033884144338	1	40.9732100542135	1	1	1	1	76.1014567751942	1
AGO3	1	1	1	1	1	25.0214165835166	1	1	35.3269053691353	1	1	1	1	1	1	38.69083194323	1	1	1	1	1	43.9510100793439	1	62.4907821863305	1	1	1	67.3518243214252
AGR2	1	1	1304.50283340459	343.923355283011	1	1	1	1	630.753294548397	1	1	1	1	1	2130.45990274249	1	1	1	1	2270.14822209772	1	851.821688304008	1670.84861394195	1	1	1	1	1
AGR3	1	1	515.888874219959	1	1	1	1	1	246.949252670549	1	1	1	1	1	1353.86952043007	1	1	1	1	642.159333607965	1	360.285818129045	920.606996192465	1	1	1	1	1
AGRN	1	1	1	1	89.2549898448305	40.4182733808802	1	1	1	1	1	1	1	1	55.5518167587646	1	1	1	1	44.2320811922307	1	30.7669981852986	1	77.6481010223382	1	1	1	103.68043123905
AHCTF1	1	1	1	28.9107825862379	1	29.0391255804955	1	1	34.3375564755386	1	1	1	1	1	1	1	1	1	1	27.616995929468	1	1	1	1	1	1	1	1
AHI1	1	76.4904454130026	26.6748020377019	40.5727299616628	46.213559080144	45.3727196831369	1	1	59.9936091744817	1	1	1	1	70.233165422028	35.4085586775887	58.7163683876933	1	64.76457805745	73.8103930473816	29.0929642454004	1	79.3378840641908	32.4940432335202	46.3892776686049	102.534284149982	38.5179185163771	121.745424939452	82.7574550001978
AHNAK2	1	1	1	1	1	105.107318868903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AHR	92.6538834884848	135.834154045671	1	1	91.9350401710115	41.2343546366365	1	1	43.7399877934662	98.0153342714333	120.225988059816	1	1	101.333230733124	1	1	1	115.287995110471	54.8840699441917	37.2411874472981	1	53.3221188138158	57.208503870591	128.476016651269	1	39.0339029467827	90.9145461035789	89.2854142383975
AHSA2	1	1	1	1	1	25.5245360997763	1	1	1	1	1	1	1	1	59.1450138581792	1	1	1	1	1	1	1	1	1	1	1	1	1
AIDA	1	50.8358031052747	22.0785969457933	44.9581389093457	40.6751154844199	41.9792080242619	1	1	37.6921617299974	1	41.1200517836798	1	1	1	47.3978487566024	52.9053178856801	1	83.036717425223	68.1124320590665	40.9940466429908	79.0676471457955	1	38.6656760480529	39.0661693268807	1	1	1	1
AIF1	1	1	1	1	1	1	1	1	1	1543.38928852539	1530.73135214897	1	1	1	1	1	1	1	450.317029598388	1	1	1	1	1	1	1	1	1
AIF1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	120.833849370568	1	1	1	1	1	41.8938875575203	1	37.5117976759841	1	1
AIFM1	1	1	33.9811097689462	26.6569211972571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIFM2	1	1	1	1	1	49.30365789758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AIM1	199.609488159862	1	162.398124945036	578.537828399331	1	91.4716536822541	119.735125793787	1	301.873164768203	38.9441361336445	37.3359221911101	162.418715987521	1	1	1	1	1	1	44.5013791923011	1	1	31.8312094651024	1	1	1	62.1144449730186	127.45618784644	1
AIM2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	126.258284694742	1	1	1	1	1	1	1	1	1	1	1
AIMP2	1	1	61.9744924596388	60.4812764119538	1	55.5033043930292	1	1	1	1	1	1	1	1	1	1	1	1	1	40.5358711462181	1	1	1	1	1	31.9910382775133	1	90.7841214220649
AK1	1	102.890933285364	53.7820280425085	52.2103960419897	1	67.3199799422554	1	140.628191378812	41.8313829792385	1	1	1	1	53.7129055748241	52.4521592783799	97.3592717043771	1	89.20642750211	1	59.1976069648837	1	50.0969028369003	52.9187689490232	85.3696895128809	1	44.4758427051875	1	183.341338940696
AK4	1	1	54.8151663233754	70.7610265983021	1	75.0971071026726	1	1	64.7821873647686	1	1	1	1	107.620884261016	1	1	1	1	1	51.1157307753687	1	61.4875869738053	1	1	1	30.674308199475	1	1
AK5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	106.565240139163	1	1	1	115.415521006721	1	1
AKAP1	1	1	27.7371259375684	1	1	1	1	73.0238605059313	52.0812407713889	1	1	1	1	59.5906081741975	42.1608999481127	1	1	1	1	25.3633863241823	1	1	44.850171891562	1	1	34.4129009102899	1	1
AKAP12	1	80.2594709006279	1	1	125.320029990891	1	1	119.851481580541	1	1	1	1	1	1	1	133.460634338069	1	1	1	1	1	1	1	63.0026554711971	196.977998047738	1	1	548.325383787577
AKAP13	206.975441844185	194.514528704855	1	39.5188342526525	181.228836282774	72.0645733052015	264.402026835275	107.850003152331	45.0489615691673	176.025465435653	175.231655295807	324.929517473524	1	1	1	145.200258210049	178.05102370694	286.151210041075	319.516945725171	38.8624574912004	121.809431671913	46.4437717483447	1	167.363660362858	151.803941856248	79.7236002379485	284.137694487302	162.931409777241
AKAP17A	1	1	1	1	1	1	1	1	39.2023246735624	1	1	1	1	1	1	1	1	1	38.717542049585	1	1	1	1	1	1	1	1	1
AKAP8	1	1	1	1	1	25.6699479262512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKAP8L	1	1	1	1	1	55.4497153975168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AKIRIN1	156.812627749231	59.1256668235284	63.6459283223578	93.3958751854728	67.4217942548251	76.4767746890296	150.032952017542	1	77.9913917155623	47.703236440715	41.8119121582027	108.963476374895	1	122.073411494506	38.7702768591336	45.889308112933	1	47.6635049589071	94.0876930398668	53.5448196104191	1	128.060306788608	80.3648301653667	52.1358487639651	1	60.7130865108653	117.215141491609	55.8759246217675
AKIRIN2	121.753984189955	61.7992346376696	36.4900103954505	53.3274076260456	78.3426476594556	67.0187727556015	120.8581089616	1	43.0520027015831	169.494722925822	102.412469607891	1	1	71.257136662922	1	50.2206886087539	88.8241485176124	46.9866943248658	122.546934765347	35.322816948024	1	28.934467820902	36.6163698184839	54.3648271433651	1	57.1580251734766	101.405651306361	105.706955912041
AKNA	74.9268845575449	1	1	1	1	1	133.886495473033	1	1	1	1	365.306183688412	1	1	1	1	1	1	58.9455489932644	1	1	1	1	1	1	1	130.293112760307	1
