NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
ABCA3	1	1	1	1	1	1	1	1	75.3610011010993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	64.5008460678063	1	1	1	1	33.3648081488808	1	1	1	1	38.8274559875148	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	237.682848872577	1	1	64.0390894773075	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	81.6932371424061	1	1	1	1	1	1	1	234.245096535183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	79.8378192754553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.1138671505359	1	1	1	1	1	1	1	1	1	1	1
ABCC3	1	1	1	1	1	1	1	1	1	39.3995376005146	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC5	1	1	1	1	1	1	1	1	1	47.7391166228201	1	1	1	1	1	1	1	30.3926561955366	1	1	1	1	1	1	1	1	1	1
ABCC9	1	46.2634734748215	1	1	215.481358066518	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	27.9649827471744	1	1	1	1	1	1	1	96.2785825034096	1	30.6261408436317	1	1	1	1	1	1	36.2640251476383	1	1	1	1	1	52.2426122393553	1	1	1	1
ABCD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.2048493974184	1	1	82.0904961537813	140.530493708806	1	62.7832719089759	26.6398096750345	1	1	1	1
ABCF2	25.5624641395962	1	1	1	1	1	34.8392793006913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.299851494209	47.1802315312123	1	56.0987506615216	1	1	1
ABCF3	22.3040563968406	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.3192997616866	1	1	1	1	1
ABCG1	1	1	1	1	1	1	1	1	1	66.9610584929281	1	1	1	1	1	1	1	1	1	83.5437368610813	72.014460242916	1	114.760091047808	1	1	1	1	1
ABHD11	87.6262821820208	1	1	1	1	109.349159558829	52.6572006226215	1	88.1519267573744	1	140.271745753075	1	1	1	1	1	1	109.527107660227	55.5503238921337	1	1	85.6505570945749	1	64.7399374551503	1	1	1	1
ABHD13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	126.746533511573	1	1	1	1	1
ABHD17A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	73.3806624684014	1	1	91.638592998189	1	29.1255592125612	55.6412874229161	1	1	1	1	127.180586637584
ABHD3	1	1	1	1	1	1	1	1	1	1	41.4351467430236	1	1	1	1	1	1	33.1650941284982	1	1	1	1	1	1	1	1	1	1
