NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
LMAN1	186.471725169563	141.762225513909	90.6437319512712	94.6033053591393	44.0701135754655	109.029193884992	80.8958967359336	177.272678145907	296.425230819161	1	118.688801658464	65.5393373507374	232.288598518845	127.682753254301	64.5699027102799	65.3306864476663	109.571155759483	135.772449513286	104.896500730553	223.407930940726	189.967885174425	122.436004333925	124.479150012941	1	134.157276931428	141.159951440682	170.124039986248	1
LMBR1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.1261150153882	1	52.7144904166327	24.5651391220581	1	1	1	1	1	1	1	1
LMBR1L	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.9662615101784	1	1	1	24.9162452583454	113.24196294221	1	1	1	1
LMBRD1	73.5388481474382	86.6184428525193	105.732095274244	1	1	62.8085497945524	1	99.4182120984889	1	1	1	1	1	32.8732812352298	1	90.2540170501484	43.8495312824012	70.0085653190508	42.4827511213095	1	1	1	57.6804406140545	1	81.0595191802576	98.8886290005006	37.3607057936928	1
LMCD1	64.0140633268914	405.021688226417	1	1	1	1	1	465.926378704763	1	1	1	1	196.642076945191	1	86.706502463939	1	40.0551620375893	1	315.923215613522	126.907951559438	42.4749139499143	56.5130555954252	36.7212976677557	1	191.115565981406	1	1	1
LMNB1	1	1	1	1	55.7344234808914	1	1	1	1	1	73.264252780525	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LMNB2	1	1	1	1	1	1	1	1	1	1	32.6422503966545	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LMO2	1	72.1331700238105	1	1	1	1	1	98.8781796593729	1	1	1	1	1	1	1	1	1	1	81.1482288782137	60.6997468248134	1	1	1	1	1	1	1	1
LMO7	1	1	1	1	1	1	1	1	1	1	1	1	73.7667549780766	1	1	1	42.7546643138334	1	1	1	42.0086124074467	1	1	1	1	1	64.4050594067473	1
LMOD1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	292.352141795063	1	1	1	1	1	1	1	1	1	150.265722336125	149.665789871122	1	1
LMTK3	1	1	1	1	1	68.9227223404924	1	1	1	1	48.2443594562448	1	1	125.396035495391	1	1	131.922910022242	1	1	1	1	118.236033791326	33.612462582833	1	1	1	144.128890537623	1
LNPEP	1	62.6717809342486	109.089558577774	1	1	1	92.8041792449092	1	1	1	1	42.5664148968119	53.0714027076199	1	1	32.6571651237748	1	1	1	71.4878223808422	1	1	1	124.059200636014	1	1	1	165.068443379627
LOX	1	1	1	1	1	1	1	1	1	1	1	1	128.823504539216	1	1	1	1	1	94.1936067244683	165.919040291725	1	1	1	1	1	1	1	1
LOXL1	104.930851252152	1	1	1	1	1	1	1	1	1	1	1	278.215090334198	1	1	1	1	1	1	1	117.522411386703	1	1	1	1	1	1	1
LOXL2	1	48.7372544267614	1	1	1	1	1	65.9976900518843	1	1	1	1	123.640251342998	1	1	1	1	1	86.8237031563381	72.350430203092	44.5684235638294	1	1	1	141.696778774729	1	1	1
LPAR1	79.2902748403311	1	1	1	1	1	1	1	1	1	1	1	49.0234395848521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LPAR2	1	1	1	1	1	1	1	1	1	1	34.7361437338792	1	1	30.0349510711676	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LPAR5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	94.2501667891094	1	1	1	1
LPAR6	1	238.43142473799	1	1	73.0576163162345	1	1	231.36797788745	1	1	1	1	1	1	1	117.375838722371	1	38.1258052810427	241.248025369336	1	1	1	1	1	1	1	1	1
LPCAT2	1	1	1	1	64.3763087960023	1	1	199.932853905	1	1	1	1	1	1	1	69.6718956336986	1	1	61.9070588977581	1	34.5445774913898	1	1	1	1	136.268653373381	1	1
LPCAT4	1	163.691716591846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69.7408435634887	78.175107427609	40.8208035717089	1	1	1	1	1	1	1
LPIN1	1	1	108.589339749712	1	1	1	88.3151716533065	1	1	1	35.1691995361648	102.491390215455	1	1	1	1	1	1	1	1	51.3752679243913	54.0970479976512	60.6051768111923	1	1	55.7507808552271	1	1
LPIN2	1	1	1	102.02217317718	50.0943075861655	1	86.2297785660824	1	1	1	1	1	45.78253245788	1	1	60.0806395228658	1	1	1	1	1	1	1	1	1	1	1	1
