Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
429,456.286624203822,419.690265486726,614.454237288136,896.480124223603
430,458.114649681529,421.256637168142,617.189830508475,900.62049689441
431,459.968152866242,423.088495575221,619.928813559322,904.882608695652
432,461.566878980892,424.840707964602,622.654237288136,909.141614906832
433,463.248407643312,426.486725663717,625.406779661017,913.487577639752
434,465.127388535032,428.12389380531,628.149152542373,917.711801242236
435,466.942675159236,429.858407079646,630.898305084746,922.006832298137
436,468.783439490446,431.619469026549,633.661016949153,926.248447204969
437,470.770700636943,433.398230088496,636.393220338983,930.566459627329
438,472.726114649682,435.12389380531,639.186440677966,934.873913043478
439,474.585987261146,436.743362831858,642.064406779661,939.154037267081
440,476.643312101911,438.371681415929,644.922033898305,943.401863354037
441,478.407643312102,440.097345132743,647.701694915254,947.757763975155
442,480.254777070064,441.566371681416,650.416949152542,952.072670807453
443,481.993630573248,443.495575221239,653.294915254237,956.424223602485
444,483.821656050955,445.141592920354,656.08813559322,960.771428571429
445,485.617834394904,446.946902654867,658.881355932203,965.130434782609
446,487.490445859873,448.734513274336,661.813559322034,969.512422360248
447,489.369426751592,450.256637168142,664.559322033898,973.912422360248
448,491.197452229299,452.194690265487,667.389830508475,978.293788819876
449,492.980891719745,453.787610619469,670.223728813559,982.721118012422
450,494.87898089172,455.548672566372,672.945762711864,987.162732919255
451,496.668789808917,457.371681415929,675.772881355932,991.480745341615
452,498.433121019108,459.079646017699,678.766101694915,995.871428571429
453,500.267515923567,460.814159292035,681.8,1000.29068322981
