NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	252.822943231142	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	103.979818272626	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.6650172850718	1	1	1	1	66.1113675931322	1	1
ABCC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	46.5479994953254	1	1	1	1	1	1	1	1	53.7151963388764	1
ABCC5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.6514636261183	1	1	1	1	1	1	1	1	1	1
ABCC9	64.669619877402	1	1	1	1	1	1	1	1	1	1	1	1	236.140195546157	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	1	1	1	1	1	32.8816271631706	1	1	1	1	1	1	95.0998093213463	1	1	1	1	1	1	1	1	28.1835134628791	1	29.8601292483291	62.8020471434008	1	1	1
ABCD4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	129.901554198904	83.5433300868735	1	1	1	1	56.2312622477447	1	69.6394479237595
ABCF1	1	1	65.6900006137666	39.3336060010466	56.2989190665002	24.6157980814222	1	1	113.152948783522	1	1	63.987140773787	34.5422607242212	1	52.9578863409964	1	1	42.6149904330901	1	1	45.7529503474719	39.9093179806829	36.1938464968319	44.2686182231267	46.2805299832094	1	1	1
ABCF2	1	1	33.4163655152727	1	35.716410775662	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.7559696435147	1	1	1	1
ABCG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	59.8300840997112	1	79.9775579832726	47.6151626801525	1	1	1	1	1	1	1
ABHD11	1	1	87.5735059483683	53.7760477662283	53.4871615945576	141.410793628688	1	1	1	1	1	87.0042879189602	104.066342019546	1	1	1	1	1	1	1	1	109.348079023402	1	83.2799974667218	81.767154295321	1	1	1
ABHD16A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.1028879358393
ABHD17A	1	1	30.4044033188792	1	24.8794471268597	1	1	1	1	108.377663773204	1	1	1	1	1	1	1	1	1	1	92.7133686913676	1	1	1	1	72.8407208384329	1	56.1108756863762
ABHD3	1	1	1	1	1	34.2897166111972	1	1	1	1	1	1	1	1	1	1	1	43.1035645678854	1	1	1	33.7381030273386	1	1	1	1	1	1
ABHD5	95.6596839522371	1	28.7549802216272	90.2696426658976	1	80.3327168354889	1	1	1	1	1	55.4442137264745	1	50.1550669478417	1	62.6665859448323	113.649430055036	65.4871436035487	97.2736168778384	71.9470867011191	61.1577916054052	50.8476189839239	1	27.0190265649109	105.119837083072	78.0403954512993	156.04155843784	1
ABI1	1	100.82208903782	51.8817927671664	55.4930778008417	42.186756617561	37.7015741313975	1	77.7862840369711	110.600463861034	1	111.979517526702	48.1844014343141	1	1	39.608907501927	1	1	75.4396846355856	68.7675159159066	45.1120397232953	70.9418859847156	46.7811952996124	57.6014990243817	40.6251220961151	44.2004457907114	35.6971480753368	63.3226750097344	80.8704913081201
ABI3	1	100.684441083765	1	1	1	1	1	1	1	181.352653963792	1	1	1	1	1	1	1	86.3102860534477	74.9418580737493	80.5589521877493	136.566169240113	1	60.1329880781769	1	1	52.0135976618681	1	1
ABI3BP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	91.6760292743416	210.200336007958	1	1	1	1	1	1	1	1	1	1	1	1
ABL2	1	1	1	1	29.8714238764264	1	1	1	1	1	1	1	1	1	112.38019951281	77.3584880544469	1	100.185972134087	116.176267516641	131.977314711523	79.7414040926672	1	1	1	1	329.092218114612	1	103.894034239121
ABLIM1	1	1	50.1861092241561	28.2531303603245	1	69.749263007411	1	1	1	1	107.427127689678	81.0535000419353	1	1	1	83.6057033899988	131.943379951764	1	1	176.916069594782	95.2706749316815	49.1697056608922	1	40.6067414812884	1	98.6916860410478	85.7039084708716	148.99361402998
ABLIM3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.5839705712969
ABR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.5728563131976	1	1	1	1	1	1	1	53.1836436763956	1	1
ABRACL	1	292.090326287715	337.214550786609	102.671574144474	206.315933724306	160.212541118518	1	110.127907828029	235.632257149008	206.897893804318	330.384203403984	228.485591674273	191.918942461337	1	86.5887191636972	1	240.835655898382	184.638900787971	223.030269252	80.8726561500496	97.2135698219045	180.171773219079	198.645706699447	287.728530116937	113.981033575871	107.216055052583	1	94.9476848143766
ABT1	1	1	66.9637860154747	1	35.75716177289	1	1	1	96.38309888111	110.293102251837	1	42.2090991056323	1	1	1	1	1	1	1	1	1	29.8255056334079	1	45.9725033230095	1	1	1	1
ABTB1	136.628131892573	1	1	1	1	1	1	1	1	1	1	1	1	129.892740864034	1	1	1	1	1	1	36.9853540359651	1	1	1	1	1	1	124.386158085541
AC005152.3	1	1	1	1	48.4530082599484	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC006129.2	1	1	1	1	1	1	1	1	189.433596365964	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007246.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.456748592443	1	1
AC008268.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	71.9989363973292	1	1	1
