NAME	Myoepithelial	GenMod1	PVL Differentiated	B cells Naive	T cells CD4+	T cells CD8+	Macrophage	Endothelial CXCL12	Endothelial ACKR1	GenMod4	NKT cells	GenMod2	Plasmablasts	GenMod5	GenMod3	Monocyte	B cells Memory	GenMod6	GenMod7	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Mature Luminal	NK cells	Luminal Progenitors	Endothelial RGS5	PVL Immature	Endothelial Lymphatic LYVE1
ABI3BP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	157.06234198202	1	82.4106130229709	1	1	1	1	1	1
ABL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.2486194880322	1	1	1	1	1	1
ABL2	1	1	1	1	1	1	105.457774562527	250.074823858109	148.293382568683	1	1	1	1	1	1	73.200472426837	1	1	1	1	1	94.6980491452006	1	1	1	142.586999357342	63.0323494465095	1
ABLIM1	1	67.7592070335481	1	1	94.9000861100966	1	1	133.608412796466	165.88636009401	49.5847284748645	1	28.8552796368282	1	1	1	1	1	48.2209724465443	107.707572165079	1	1	1	38.0319710981234	1	28.4487520339588	87.4587377592333	1	16.7323111018242
ABLIM3	1	1	1	1	1	1	1	1	44.2271387144633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABR	1	1	1	1	1	1	43.703197491362	44.5422847637747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABRACL	1	161.886275007003	1	216.859186845043	317.604878435771	296.254050162212	166.803967330371	128.904190300498	42.1651694600928	337.973593137276	277.281558118514	289.242311668797	1	192.876956269809	194.667133766689	186.673534877698	73.7940807825966	179.26385056826	243.96135407441	1	211.007014206018	78.7723319094207	148.488757062867	205.305378360904	89.7114197710488	52.0044668885199	1	294.516088461412
ABT1	62.0228466230597	1	1	1	1	1	1	1	1	72.5686103492925	1	44.3258386754057	1	1	45.967240886441	1	1	39.8053357515345	48.9954609994197	1	1	1	35.7865259162108	1	26.1057290351355	34.812532248409	1	1
ABTB1	53.2300025972445	1	113.028908739077	1	1	1	1	1	39.1993155537553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	43.1371389680874	86.1538700757518	84.0874852305924
AC006129.2	1	1	1	157.708142555552	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC007246.3	1	1	1	1	1	1	1	46.2478651058649	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC008268.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.6142905058092	1	1	1	1	1
AC013461.1	109.900877940177	45.1079927326755	411.232702814383	1	1	1	1	1	1	1	1	1	1	1	59.9761481505702	39.336413803127	1	47.0158359508915	38.503908532284	110.971662108734	1	55.1769823137251	42.9614131733885	1	1	70.5361515742371	224.312284820638	1
AC016735.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.0682713016153	1	1	1
AC017002.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56.374960786367	162.654411686462	1
AC018816.3	1	1	1	1	1	1	1	1	1	1	1	69.633369647966	1	136.939223239589	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC079767.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	175.273493736289	1	1	1	1	1	1	1	1	1	1	1
AC092580.4	1	1	1	1	1	109.925339009372	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	164.453571838263	1	1	1	1
AC093818.1	1	1	1	1	1	1	1	1	1	1	1	1	59.3661769787238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC133644.2	1	1	1	1	121.307746724995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC145124.2	40.2941163744133	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACAA2	1	1	1	1	1	1	37.1067750748767	1	1	69.693699648669	1	49.623572355999	1	1	44.8787794932365	1	1	1	1	1	1	65.639547791462	1	1	1	1	1	1
ACACA	1	40.6511481445617	1	1	1	1	1	1	1	1	1	1	1	39.5381153010863	1	1	1	38.1858444200753	33.800069948148	1	1	1	36.7453335611275	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	87.5825237131494	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACAD9	1	1	1	1	1	1	1	1	1	33.205534228329	1	27.9390403382796	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACADS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.9059851434343	1	1	1	1	1
ACADSB	1	39.9575381271623	1	1	1	1	1	1	1	1	1	55.4128665042966	1	127.528424517787	1	1	1	1	1	1	1	1	173.832280877217	1	1	1	1	1
ACAP1	1	1	1	252.68429155127	321.136381986903	354.075492688269	1	1	1	1	229.745954531559	1	1	1	1	1	247.411072720482	1	1	1	100.096890716015	1	1	394.858759710519	1	1	1	1
ACAT2	1	1	1	1	1	1	1	1	1	106.288333800907	1	59.6153702789356	1	1	40.6069527095132	1	1	36.9938084097443	1	1	1	1	1	1	1	1	1	1
ACBD3	1	79.6621565309298	1	1	1	1	1	1	1	48.2945229566327	1	41.635812423567	1	68.9056207065675	82.0940763085923	1	1	75.1224523999716	65.6378531698735	1	1	57.6551344703363	38.0455065605042	1	1	1	1	1
ACD	47.456215831949	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.1534550161187
ACE	1	1	1	1	1	1	1	183.313258585994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	69.3658370990332	1	1
ACER3	1	1	1	1	1	1	56.7618012013358	1	1	1	1	1	1	1	1	60.9256141460764	1	1	1	1	33.6403590052633	1	1	1	1	1	1	1
ACKR1	1	1	1	1	1	1	1	1	4391.691536214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	200.564926235956	1	1
ACKR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.8230736315403
ACLY	1	42.9365622354906	1	1	1	1	1	1	1	1	1	33.3358594213877	1	68.3149692177826	1	1	1	34.2864715557542	44.2808256261201	1	1	1	33.2937655132575	1	1	1	1	66.6473875435989
ACOT4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.9944266562739	1	1	1	1	1	1	1	1	1	1
ACOT7	1	1	1	1	1	1	1	1	1	67.6678791829957	1	1	1	1	41.9425209104306	1	1	1	1	1	79.9807409210802	1	1	1	1	1	1	81.1339045117234
ACOT8	1	45.3772494003607	1	1	1	1	1	1	1	30.9987497253583	1	51.9971542463244	1	38.6924228317367	40.9777663902663	1	1	45.7707083982036	30.4798739560692	1	1	1	1	1	1	1	1	1
ACOX1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.8914274881116	1	1	39.8050630230372	1	1	1	38.2608635496587	1	1
