NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
KRT5	1	1	1	1	1	1	200.445612695995	1	1	1	83.5304476532131	1	1	1	1	1	1	1	1	1	1	1	1	1709.20943924626	1	1	257.515402384209	1
KRT6B	1	1	1	1	1	1	201.133483189616	1	1	1	62.7113153663132	1	1	1	1	1	1	1	1	1	1	1	1	189.363195416775	1	1	208.885863375448	1
KRT7	1	1	1	1	504.101343200319	1468.28951848281	857.474177659929	1	1	67.4313969273207	1105.82945259156	1	1	1033.69239160801	400.943133586697	1	1	658.298733548777	1	1	1	1506.69502606338	1	1295.64243204487	1	1	1427.35443848061	109.470363793613
KRT8	1	1	1	1	1482.41387041594	1218.61468765904	518.263589201129	1	1	1	579.252162214974	1	1	820.85380365716	928.843570063862	1	1	1460.90709304006	1	1	1	819.469631873087	62.8314711803046	781.587377131069	1	1	894.252954688218	155.442997584362
KRT80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.9732000328786	1
KRT81	1	1	1	1	1	655.519302965084	1	1	1	1	1	1	1	1	1	1	197.433209851677	1	1	1	1	1	1	1	1	1	1	1
KRT86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	361.284043690149	1	1	1	1	1	1	1	1	1	1	1
KRTCAP3	1	1	1	1	87.682665993719	161.800017250993	104.924464087253	1	1	1	113.738071200621	1	1	67.1767804185772	111.56150432514	1	1	97.4264521182545	1	1	1	76.0649312975415	1	51.6921027095058	1	1	140.393738864698	1
KYNU	1	1	75.4729026397171	1	1	55.8405367001144	46.842586670308	1	1	1	79.1608462937426	1	1	1	1	1	1	1	138.637035227621	1	1	78.1393875749512	1	1	1	68.4138805064417	1	1
LACTB	1	1	74.25488056553	1	30.6746212864281	1	36.288798372457	1	1	1	1	1	1	1	1	1	1	1	92.5335359740901	1	1	1	1	1	1	1	1	1
LACTB2	1	1	1	1	36.3616340122013	34.1730325857858	22.6717594558751	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.316209252899	1	1	1	1	1	1
LAD1	1	1	1	1	1	51.635085440154	71.5672507645033	1	1	1	63.809060950552	1	1	41.855800795956	1	1	1	1	1	1	1	47.1711593088433	1	1	1	1	1	1
LAG3	287.256988791338	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	116.033176288803
LAIR1	1	1	243.508795393259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	134.106532812293	96.1164030566043	1	1	1	1	1	90.6212373256018	1	1
LAIR2	1	1	1	1	1	1	1	1	1	1	1	1	244.057601461276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LAMA2	1	96.8810571418583	1	1	1	1	1	215.405507945441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LAMA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	112.949710598226	1	1	1	1
